,artist,popularity,num_genres
0,Napoleone,35,0
0,Rick Ross,77,6
0,Elisa,63,2
0,dutchavelli,56,1
0,Jadakiss,65,4
0,Franco126,62,3
0,Dj Harsh,49,0
0,Night Skinny,65,3
0,Vettosi,33,1
0,Rasty Kilo,41,2
0,North of Loreto,30,0
0,Caneda,33,1
0,Entics,35,0
0,Baby K,54,2
0,Ntò,46,1
0,Nex Cassel,37,2
0,Zuli,22,0
0,Vincenzo Da Via Anfossi,30,2
0,Caprice,27,2
0,MILES,49,2
0,2nd Roof,56,1
0,Junior K,56,0
0,Drillionaire,42,0
0,Rame,39,0
0,Alborosie,58,2
0,Noizy,67,3
0,DrefGold,56,3
0,Prynce,28,0
0,Cosculluela,73,4
0,El Micha,53,1
0,Il Profeta,31,0
0,Vale Lambo,55,2
0,Laïoung,37,1
0,Akon,80,1
0,Ateyaba,49,3
0,Peppino Di Capri,46,1
0,Red Cafe,39,1
0,Galiano,14,0
0,Slim Thug,59,2
0,Rosario Miraggio,48,2
0,Jack Jaselli,14,1
0,Arlissa,45,1
0,Julia Lenti,18,0
0,Dj Jay-K,17,0
0,Stress,38,2
0,Sixpm,53,0
0,Sayanbull,34,0
0,Raf,53,2
0,ChildsPlay,47,3
0,Domiziana,60,0
0,Replay Okay,50,0
0,Aka 7even,50,1
0,Cancun,43,0
0,Blind,32,0
0,Timongothekeys,57,0
0,Vale Pain,59,2
0,167 Gang,49,1
0,Nashley,52,1
0,MDNT,7,0
0,Linch,61,0
0,Lil Kvneki,48,0
0,D'Amore,23,0
0,Heartman,36,1
0,☆ ELEONORA ☆,18,0
0,Reizon,46,0
0,Papa V,46,0
0,Key Largo,43,4
0,Il Genio,32,1
0,Hache-P,40,2
0,Taxi B,49,2
0,Random,53,0
0,Elilluminari,46,1
0,Franchino,35,1
0,Mattia Trani,19,1
0,Diegovlberton,13,0
0,Fri2,38,0
0,Bello Figo,47,0
0,Brando Luis,52,0
0,Cxtana,20,0
0,Bovychulo,37,0
0,The American Boyfriends,37,0
0,Rossella Essence,23,0
0,Fred De Palma,63,2
0,Niko Pandetta,60,1
0,J2LASTEU,54,0
0,65Goonz,51,3
0,OskMusic,31,0
0,Rayan,50,1
0,Intifaya,50,0
0,Young Slash,34,1
0,Demo,29,0
0,Gaia,49,2
0,Hatik,59,2
0,chiello,53,1
0,Chris Nolan,60,1
0,Birthh,32,2
0,AIELLO,51,1
0,Merk & Kremont,59,4
0,BB Team,38,0
0,Elliphant,47,2
